date,tavg,has_snow,has_rain
2019-01-01,10.0,0,1
2019-01-02,3.333333333333333,0,0
2019-01-03,5.555555555555555,0,0
2019-01-04,5.555555555555555,0,0
2019-01-05,6.944444444444445,0,1
2019-01-06,4.722222222222222,0,0
2019-01-07,-0.8333333333333333,0,0
2019-01-08,5.0,0,1
2019-01-09,4.722222222222222,0,1
2019-01-10,0.2777777777777778,0,0
2019-01-11,-2.7777777777777777,0,0
2019-01-12,-2.5,0,0
2019-01-13,-1.6666666666666665,0,0
2019-01-14,-1.9444444444444444,0,0
2019-01-15,-0.5555555555555556,0,0
2019-01-16,1.9444444444444444,0,0
2019-01-17,-1.1111111111111112,0,0
2019-01-18,1.9444444444444444,1,1
2019-01-19,1.9444444444444444,0,1
2019-01-20,-2.2222222222222223,0,1
2019-01-21,-11.944444444444445,0,0
2019-01-22,-5.277777777777778,0,0
2019-01-23,3.611111111111111,0,0
2019-01-24,7.777777777777778,0,1
2019-01-25,1.3888888888888888,0,0
2019-01-26,-1.1111111111111112,0,0
2019-01-27,3.888888888888889,0,0
2019-01-28,0.0,0,0
2019-01-29,1.3888888888888888,0,1
2019-01-30,-5.833333333333333,1,0
2019-01-31,-12.222222222222221,0,0
2019-02-01,-8.333333333333334,0,0
2019-02-02,-3.0555555555555554,0,0
2019-02-03,5.277777777777778,0,0
2019-02-04,8.61111111111111,0,0
2019-02-05,10.277777777777777,0,0
2019-02-06,4.722222222222222,0,1
2019-02-07,4.722222222222222,0,1
2019-02-08,6.666666666666666,0,1
2019-02-09,-1.9444444444444444,0,0
2019-02-10,-1.1111111111111112,0,0
2019-02-11,1.1111111111111112,0,0
2019-02-12,-0.8333333333333333,1,1
2019-02-13,3.0555555555555554,1,1
2019-02-14,4.166666666666667,0,0
2019-02-15,9.166666666666666,0,0
2019-02-16,3.888888888888889,0,0
2019-02-17,-0.2777777777777778,0,1
2019-02-18,1.1111111111111112,0,1
2019-02-19,-1.1111111111111112,0,0
2019-02-20,-1.6666666666666665,1,1
2019-02-21,5.555555555555555,0,1
2019-02-22,4.444444444444445,0,0
2019-02-23,1.9444444444444444,0,0
2019-02-24,5.0,0,1
2019-02-25,1.9444444444444444,0,0
2019-02-26,-0.5555555555555556,0,0
2019-02-27,-3.333333333333333,0,0
2019-02-28,-0.5555555555555556,1,1
2019-03-01,-0.8333333333333333,1,1
2019-03-02,1.9444444444444444,1,1
2019-03-03,3.0555555555555554,1,1
2019-03-04,0.8333333333333333,1,1
2019-03-05,-3.0555555555555554,1,0
2019-03-06,-5.0,0,0
2019-03-07,-3.333333333333333,0,0
2019-03-08,-0.5555555555555556,0,0
2019-03-09,4.722222222222222,0,0
2019-03-10,3.888888888888889,1,1
2019-03-11,7.777777777777778,0,0
2019-03-12,3.611111111111111,0,0
