date,count
2018-01-01,188567
2018-01-02,256040
2018-01-03,276530
2018-01-04,125059
2018-01-05,299567
2018-01-06,299632
2018-01-07,238055
2018-01-08,278809
2018-01-09,301236
2018-01-10,308068
2018-01-11,329509
2018-01-12,345899
2018-01-13,350866
2018-01-14,272452
2018-01-15,263346
2018-01-16,314397
2018-01-17,322987
2018-01-18,352127
2018-01-19,352966
2018-01-20,321952
2018-01-21,236672
2018-01-22,278975
2018-01-23,305648
2018-01-24,336922
2018-01-25,354176
2018-01-26,366648
2018-01-27,337193
2018-01-28,243161
2018-01-29,282061
2018-01-30,322034
2018-01-31,336891
2018-02-01,344554
2018-02-02,378141
2018-02-03,337892
2018-02-04,259881
2018-02-05,301848
2018-02-06,322122
2018-02-07,336331
2018-02-08,362212
2018-02-09,366002
2018-02-10,346304
2018-02-11,250692
2018-02-12,306323
2018-02-13,335689
2018-02-14,344455
2018-02-15,343363
2018-02-16,354245
2018-02-17,318184
2018-02-18,247474
2018-02-19,257587
2018-02-20,287594
2018-02-21,321073
2018-02-22,352760
2018-02-23,361988
2018-02-24,341937
2018-02-25,253290
2018-02-26,296346
2018-02-27,320727
2018-02-28,336069
2018-03-01,358694
2018-03-02,346154
2018-03-03,356655
2018-03-04,271354
2018-03-05,301446
2018-03-06,329931
2018-03-07,245852
2018-03-08,359285
2018-03-09,380582
2018-03-10,362201
2018-03-11,248989
2018-03-12,309195
2018-03-13,324588
2018-03-14,355711
2018-03-15,375576
2018-03-16,384547
2018-03-17,351777
2018-03-18,250788
2018-03-19,289458
2018-03-20,326906
2018-03-21,185312
2018-03-22,334905
2018-03-23,366480
2018-03-24,334753
2018-03-25,246451
2018-03-26,296141
2018-03-27,316443
2018-03-28,332925
2018-03-29,350947
2018-03-30,337231
2018-03-31,302840
2018-04-01,235485
2018-04-02,271658
2018-04-03,323073
2018-04-04,330959
2018-04-05,355278
2018-04-06,367728
2018-04-07,347944
2018-04-08,249462
2018-04-09,299316
2018-04-10,325803
2018-04-11,338475
2018-04-12,350065
2018-04-13,375670
2018-04-14,371541
2018-04-15,278007
2018-04-16,294662
2018-04-17,340655
2018-04-18,340431
2018-04-19,373197
2018-04-20,382623
2018-04-21,344232
2018-04-22,251316
2018-04-23,299108
2018-04-24,329340
2018-04-25,344352
2018-04-26,355820
2018-04-27,366464
2018-04-28,349724
2018-04-29,261192
2018-04-30,311751
2018-05-01,324758
2018-05-02,339569
2018-05-03,360710
2018-05-04,368281
2018-05-05,361182
2018-05-06,253961
2018-05-07,301684
2018-05-08,327879
2018-05-09,336190
2018-05-10,353444
2018-05-11,362227
2018-05-12,335045
2018-05-13,269113
2018-05-14,311745
2018-05-15,329337
2018-05-16,338041
2018-05-17,349785
2018-05-18,368127
2018-05-19,331340
2018-05-20,249675
2018-05-21,293668
2018-05-22,316698
2018-05-23,319771
2018-05-24,327578
2018-05-25,300820
2018-05-26,250985
2018-05-27,203228
2018-05-28,195824
2018-05-29,293542
2018-05-30,318865
2018-05-31,341053
2018-06-01,357341
2018-06-02,326969
2018-06-03,248357
2018-06-04,291664
2018-06-05,315574
2018-06-06,332553
2018-06-07,341434
2018-06-08,350100
2018-06-09,310449
2018-06-10,233902
2018-06-11,289955
2018-06-12,313337
2018-06-13,329771
2018-06-14,341199
2018-06-15,301853
2018-06-16,289734
2018-06-17,237867
2018-06-18,296356
2018-06-19,316856
2018-06-20,328450
2018-06-21,331960
2018-06-22,344392
2018-06-23,292352
2018-06-24,228121
2018-06-25,276651
2018-06-26,303295
2018-06-27,314359
2018-06-28,325920
2018-06-29,314131
2018-06-30,285914
2018-07-01,224082
2018-07-02,254902
2018-07-03,270894
2018-07-04,180706
2018-07-05,231663
2018-07-06,247790
2018-07-07,223854
2018-07-08,194926
2018-07-09,256284
2018-07-10,292090
2018-07-11,304049
2018-07-12,308599
2018-07-13,307613
2018-07-14,273754
2018-07-15,213978
2018-07-16,280457
2018-07-17,294271
2018-07-18,305605
2018-07-19,297029
2018-07-20,304143
2018-07-21,263432
2018-07-22,211703
2018-07-23,263463
2018-07-24,296553
2018-07-25,299032
2018-07-26,312577
2018-07-27,305361
2018-07-28,272569
2018-07-29,213889
2018-07-30,257319
2018-07-31,284122
2018-08-01,302707
2018-08-02,308039
2018-08-03,297517
2018-08-04,257161
2018-08-05,213771
2018-08-06,265180
2018-08-07,299254
2018-08-08,305299
2018-08-09,306829
2018-08-10,301994
2018-08-11,241707
2018-08-12,200446
2018-08-13,252064
2018-08-14,277020
2018-08-15,291153
2018-08-16,297561
2018-08-17,299734
2018-08-18,249733
2018-08-19,192240
2018-08-20,236339
2018-08-21,250541
2018-08-22,272275
2018-08-23,281032
2018-08-24,280385
2018-08-25,243973
2018-08-26,198747
2018-08-27,239796
2018-08-28,276151
2018-08-29,284561
2018-08-30,281522
2018-08-31,266690
2018-09-01,219878
2018-09-02,191732
2018-09-03,194753
2018-09-04,282751
2018-09-05,309838
2018-09-06,323431
2018-09-07,328540
2018-09-08,296068
2018-09-09,234353
2018-09-10,264699
2018-09-11,281933
2018-09-12,307826
2018-09-13,322570
2018-09-14,334880
2018-09-15,307222
2018-09-16,231952
2018-09-17,281271
2018-09-18,281291
2018-09-19,284442
2018-09-20,323154
2018-09-21,331343
2018-09-22,300519
2018-09-23,221102
2018-09-24,249754
2018-09-25,266852
2018-09-26,282394
2018-09-27,302942
2018-09-28,325633
2018-09-29,309778
2018-09-30,231963
2018-10-01,268207
2018-10-02,298628
2018-10-03,315894
2018-10-04,324369
2018-10-05,326275
2018-10-06,304153
2018-10-07,224422
2018-10-08,242751
2018-10-09,298656
2018-10-10,309199
2018-10-11,314437
2018-10-12,336523
2018-10-13,314906
2018-10-14,232565
2018-10-15,276547
2018-10-16,308419
2018-10-17,316463
2018-10-18,334214
2018-10-19,335787
2018-10-20,310695
2018-10-21,246713
2018-10-22,280501
2018-10-23,299102
2018-10-24,308447
2018-10-25,328782
2018-10-26,348407
2018-10-27,318577
2018-10-28,233351
2018-10-29,275568
2018-10-30,296049
2018-10-31,301887
2018-11-01,318560
2018-11-02,339314
2018-11-03,323521
2018-11-04,236365
2018-11-05,283674
2018-11-06,292577
2018-11-07,305243
2018-11-08,320736
2018-11-09,313552
2018-11-10,332145
2018-11-11,238667
2018-11-12,276927
2018-11-13,299556
2018-11-14,316095
2018-11-15,239423
2018-11-16,324887
2018-11-17,322929
2018-11-18,238223
2018-11-19,273343
2018-11-20,291262
2018-11-21,265928
2018-11-22,170434
2018-11-23,215575
2018-11-24,244211
2018-11-25,210389
2018-11-26,270564
2018-11-27,296219
2018-11-28,298420
2018-11-29,318316
2018-11-30,332099
2018-12-01,324749
2018-12-02,244985
2018-12-03,282892
2018-12-04,305440
2018-12-05,315078
2018-12-06,326308
2018-12-07,335791
2018-12-08,321041
2018-12-09,248116
2018-12-10,288001
2018-12-11,302888
2018-12-12,318191
2018-12-13,331572
2018-12-14,337402
2018-12-15,327491
2018-12-16,255805
2018-12-17,291189
2018-12-18,318658
2018-12-19,318988
2018-12-20,324106
2018-12-21,300370
2018-12-22,255438
2018-12-23,189823
2018-12-24,195598
2018-12-25,131211
2018-12-26,199950
2018-12-27,230169
2018-12-28,234477
2018-12-29,230121
2018-12-30,188552
2018-12-31,197390
