date,count
2021-01-01,19299
2021-01-02,32551
2021-01-03,25941
2021-01-04,40448
2021-01-05,42790
2021-01-06,45280
2021-01-07,45784
2021-01-08,45116
2021-01-09,37024
2021-01-10,29295
2021-01-11,42992
2021-01-12,45499
2021-01-13,47059
2021-01-14,48461
2021-01-15,47065
2021-01-16,36392
2021-01-17,29666
2021-01-18,35807
2021-01-19,46897
2021-01-20,45875
2021-01-21,49307
2021-01-22,48962
2021-01-23,39805
2021-01-24,30257
2021-01-25,43023
2021-01-26,43953
2021-01-27,48616
2021-01-28,52306
2021-01-29,48939
2021-01-30,36895
2021-01-31,28049
2021-02-01,5583
2021-02-02,29215
2021-02-03,51209
2021-02-04,53788
2021-02-05,51471
2021-02-06,46739
2021-02-07,26685
2021-02-08,46844
2021-02-09,48403
2021-02-10,53012
2021-02-11,53563
2021-02-12,57414
2021-02-13,44756
2021-02-14,37539
2021-02-15,38657
2021-02-16,46878
2021-02-17,54795
2021-02-18,34625
2021-02-19,48984
2021-02-20,48268
2021-02-21,35072
2021-02-22,46273
2021-02-23,52631
2021-02-24,55103
2021-02-25,56542
2021-02-26,59023
2021-02-27,45980
2021-02-28,36121
2021-03-01,49936
2021-03-02,56878
2021-03-03,58062
2021-03-04,61950
2021-03-05,62862
2021-03-06,51536
2021-03-07,37202
2021-03-08,51277
2021-03-09,57109
2021-03-10,59086
2021-03-11,63156
2021-03-12,65698
2021-03-13,56330
2021-03-14,39386
2021-03-15,56179
2021-03-16,60171
2021-03-17,66403
2021-03-18,65696
2021-03-19,69787
2021-03-20,58120
2021-03-21,40539
2021-03-22,54559
2021-03-23,58729
2021-03-24,63348
2021-03-25,64902
2021-03-26,68848
2021-03-27,63193
2021-03-28,35810
2021-03-29,53302
2021-03-30,61640
2021-03-31,62549
2021-04-01,67721
2021-04-02,67545
2021-04-03,58228
2021-04-04,42146
2021-04-05,57394
2021-04-06,65061
2021-04-07,68835
2021-04-08,71861
2021-04-09,73767
2021-04-10,65486
2021-04-11,42000
2021-04-12,64106
2021-04-13,68246
2021-04-14,71603
2021-04-15,74376
2021-04-16,77723
2021-04-17,70229
2021-04-18,48117
2021-04-19,62113
2021-04-20,73128
2021-04-21,73518
2021-04-22,79128
2021-04-23,80963
2021-04-24,73906
2021-04-25,43040
2021-04-26,64584
2021-04-27,70922
2021-04-28,78096
2021-04-29,76523
2021-04-30,84748
2021-05-01,76586
2021-05-02,53701
2021-05-03,68817
2021-05-04,75275
2021-05-05,81456
2021-05-06,83042
2021-05-07,88442
2021-05-08,74326
2021-05-09,56474
2021-05-10,68876
2021-05-11,78441
2021-05-12,81553
2021-05-13,77365
2021-05-14,89846
2021-05-15,84062
2021-05-16,57570
2021-05-17,69187
2021-05-18,80225
2021-05-19,86120
2021-05-20,87964
2021-05-21,93383
2021-05-22,88392
2021-05-23,62155
2021-05-24,75924
2021-05-25,84329
2021-05-26,88641
2021-05-27,88186
2021-05-28,81179
2021-05-29,62110
2021-05-30,48294
2021-05-31,53376
2021-06-01,81091
2021-06-02,88240
2021-06-03,92103
2021-06-04,94822
2021-06-05,93153
2021-06-06,66199
2021-06-07,83619
2021-06-08,90280
2021-06-09,95465
2021-06-10,100424
2021-06-11,96834
2021-06-12,89558
2021-06-13,62469
2021-06-14,81517
2021-06-15,93684
2021-06-16,97642
2021-06-17,99627
2021-06-18,96602
2021-06-19,90251
2021-06-20,66714
2021-06-21,85177
2021-06-22,94042
2021-06-23,98506
2021-06-24,101138
2021-06-25,101824
2021-06-26,93465
2021-06-27,64844
2021-06-28,84564
2021-06-29,96286
2021-06-30,96544
2021-07-01,88891
2021-07-02,83866
2021-07-03,66026
2021-07-04,53372
2021-07-05,58759
2021-07-06,84408
2021-07-07,92460
2021-07-08,89508
2021-07-09,92661
2021-07-10,88214
2021-07-11,63571
2021-07-12,79769
2021-07-13,92213
2021-07-14,99840
2021-07-15,101527
2021-07-16,100670
2021-07-17,88376
2021-07-18,65793
2021-07-19,83267
2021-07-20,87162
2021-07-21,92981
2021-07-22,99688
2021-07-23,96634
2021-07-24,87399
2021-07-25,63195
2021-07-26,83743
2021-07-27,94136
2021-07-28,94751
2021-07-29,94894
2021-07-30,97178
2021-07-31,86525
2021-08-01,59826
2021-08-02,78444
2021-08-03,89390
2021-08-04,92149
2021-08-05,95898
2021-08-06,96137
2021-08-07,84596
2021-08-08,61264
2021-08-09,78416
2021-08-10,91365
2021-08-11,95594
2021-08-12,95236
2021-08-13,96633
2021-08-14,85587
2021-08-15,63024
2021-08-16,76501
2021-08-17,86951
2021-08-18,91368
2021-08-19,95517
2021-08-20,97607
2021-08-21,88057
2021-08-22,41107
2021-08-23,75850
2021-08-24,89166
2021-08-25,93128
2021-08-26,96683
2021-08-27,94555
2021-08-28,83725
2021-08-29,59663
2021-08-30,77964
2021-08-31,88981
2021-09-01,79698
2021-09-02,87604
2021-09-03,90849
2021-09-04,81373
2021-09-05,63294
2021-09-06,64146
2021-09-07,82926
2021-09-08,97343
2021-09-09,100763
2021-09-10,105220
2021-09-11,97852
2021-09-12,70673
2021-09-13,86580
2021-09-14,97000
2021-09-15,101151
2021-09-16,98966
2021-09-17,110605
2021-09-18,104652
2021-09-19,73078
2021-09-20,86530
2021-09-21,95284
2021-09-22,101860
2021-09-23,99259
2021-09-24,110273
2021-09-25,106456
2021-09-26,75425
2021-09-27,88744
2021-09-28,97246
2021-09-29,103884
2021-09-30,111820
2021-10-01,116793
2021-10-02,109598
2021-10-03,74885
2021-10-04,90732
2021-10-05,102637
2021-10-06,108890
2021-10-07,115341
2021-10-08,121100
2021-10-09,111466
2021-10-10,76837
2021-10-11,82074
2021-10-12,103475
2021-10-13,109816
2021-10-14,120100
2021-10-15,124678
2021-10-16,114630
2021-10-17,84065
2021-10-18,97818
2021-10-19,106773
2021-10-20,115143
2021-10-21,119773
2021-10-22,123657
2021-10-23,114057
2021-10-24,82041
2021-10-25,95261
2021-10-26,95997
2021-10-27,117110
2021-10-28,124262
2021-10-29,127971
2021-10-30,115602
2021-10-31,83288
2021-11-01,98258
2021-11-02,111730
2021-11-03,117170
2021-11-04,125231
2021-11-05,131289
2021-11-06,127790
2021-11-07,83113
2021-11-08,101677
2021-11-09,115426
2021-11-10,122121
2021-11-11,121073
2021-11-12,128048
2021-11-13,126058
2021-11-14,93617
2021-11-15,109423
2021-11-16,117920
2021-11-17,122748
2021-11-18,129622
2021-11-19,132789
2021-11-20,124834
2021-11-21,89453
2021-11-22,107920
2021-11-23,113997
2021-11-24,102571
2021-11-25,61884
2021-11-26,91675
2021-11-27,103907
2021-11-28,81972
2021-11-29,103014
2021-11-30,114834
2021-12-01,118556
2021-12-02,125604
2021-12-03,134501
2021-12-04,126684
2021-12-05,93112
2021-12-06,107949
2021-12-07,123602
2021-12-08,127502
2021-12-09,132549
