date,count
2017-01-01,211360
2017-01-02,254057
2017-01-03,299567
2017-01-04,318388
2017-01-05,352937
2017-01-06,387980
2017-01-07,316041
2017-01-08,295658
2017-01-09,321536
2017-01-10,327212
2017-01-11,343666
2017-01-12,360931
2017-01-13,392888
2017-01-14,371308
2017-01-15,295423
2017-01-16,278149
2017-01-17,350897
2017-01-18,347875
2017-01-19,365140
2017-01-20,386498
2017-01-21,368679
2017-01-22,272154
2017-01-23,319293
2017-01-24,347205
2017-01-25,352274
2017-01-26,376672
2017-01-27,415996
2017-01-28,410471
2017-01-29,277340
2017-01-30,310099
2017-01-31,338323
2017-02-01,357192
2017-02-02,387938
2017-02-03,422783
2017-02-04,400410
2017-02-05,296366
2017-02-06,308866
2017-02-07,350051
2017-02-08,351591
2017-02-09,222359
2017-02-10,413126
2017-02-11,414061
2017-02-12,303894
2017-02-13,345552
2017-02-14,378028
2017-02-15,367973
2017-02-16,401593
2017-02-17,397053
2017-02-18,367393
2017-02-19,283040
2017-02-20,280341
2017-02-21,318987
2017-02-22,341998
2017-02-23,369930
2017-02-24,406213
2017-02-25,409591
2017-02-26,306928
2017-02-27,324107
2017-02-28,353134
2017-03-01,370398
2017-03-02,409379
2017-03-03,445226
2017-03-04,441686
2017-03-05,308996
2017-03-06,331248
2017-03-07,359525
2017-03-08,369707
2017-03-09,400930
2017-03-10,425552
2017-03-11,436802
2017-03-12,304734
2017-03-13,350390
2017-03-14,104210
2017-03-15,331923
2017-03-16,355431
2017-03-17,385842
2017-03-18,394407
2017-03-19,275721
2017-03-20,303261
2017-03-21,329972
2017-03-22,374679
2017-03-23,378002
2017-03-24,398296
2017-03-25,390509
2017-03-26,271668
2017-03-27,306387
2017-03-28,359434
2017-03-29,360706
2017-03-30,387371
2017-03-31,432677
2017-04-01,404791
2017-04-02,281842
2017-04-03,326815
2017-04-04,358895
2017-04-05,380745
2017-04-06,397079
2017-04-07,442814
2017-04-08,403859
2017-04-09,286310
2017-04-10,305705
2017-04-11,337658
2017-04-12,349072
2017-04-13,374089
2017-04-14,377406
2017-04-15,337787
2017-04-16,275688
2017-04-17,300350
2017-04-18,351099
2017-04-19,378704
2017-04-20,398307
2017-04-21,432052
2017-04-22,394908
2017-04-23,292230
2017-04-24,332382
2017-04-25,372089
2017-04-26,369432
2017-04-27,385329
2017-04-28,412933
2017-04-29,400043
2017-04-30,289808
2017-05-01,326159
2017-05-02,354249
2017-05-03,371174
2017-05-04,390979
2017-05-05,423735
2017-05-06,401934
2017-05-07,292146
2017-05-08,326663
2017-05-09,354400
2017-05-10,365004
2017-05-11,380782
2017-05-12,409207
2017-05-13,387860
2017-05-14,295001
2017-05-15,332798
2017-05-16,360204
2017-05-17,378923
2017-05-18,383443
2017-05-19,418402
2017-05-20,401322
2017-05-21,294203
2017-05-22,325741
2017-05-23,347858
2017-05-24,361532
2017-05-25,373158
2017-05-26,340721
2017-05-27,287313
2017-05-28,246914
2017-05-29,220330
2017-05-30,321019
2017-05-31,351230
2017-06-01,378325
2017-06-02,396340
2017-06-03,375725
2017-06-04,272025
2017-06-05,324022
2017-06-06,363898
2017-06-07,365938
2017-06-08,379206
