date,count
2019-01-01,149391
2019-01-02,212257
2019-01-03,237554
2019-01-04,257817
2019-01-05,250436
2019-01-06,204922
2019-01-07,239094
2019-01-08,250011
2019-01-09,269853
2019-01-10,298273
2019-01-11,307409
2019-01-12,279328
2019-01-13,215861
2019-01-14,255458
2019-01-15,278404
2019-01-16,284234
2019-01-17,297769
2019-01-18,281581
2019-01-19,243070
2019-01-20,194800
2019-01-21,205203
2019-01-22,264910
2019-01-23,274929
2019-01-24,297753
2019-01-25,312746
2019-01-26,285988
2019-01-27,207199
2019-01-28,251783
2019-01-29,272447
2019-01-30,289412
2019-01-31,295630
2019-02-01,315402
2019-02-02,280792
2019-02-03,213984
2019-02-04,245144
2019-02-05,269361
2019-02-06,293250
2019-02-07,295985
2019-02-08,312577
2019-02-09,292204
2019-02-10,209347
2019-02-11,248753
2019-02-12,251241
2019-02-13,284615
2019-02-14,289340
2019-02-15,276692
2019-02-16,256552
2019-02-17,196962
2019-02-18,206705
2019-02-19,251171
2019-02-20,254811
2019-02-21,271353
2019-02-22,288540
2019-02-23,270530
2019-02-24,197243
2019-02-25,249609
2019-02-26,277830
2019-02-27,286476
2019-02-28,300476
2019-03-01,301750
2019-03-02,267411
2019-03-03,204316
2019-03-04,226297
2019-03-05,283847
2019-03-06,300579
2019-03-07,309410
2019-03-08,307753
2019-03-09,288631
2019-03-10,202450
2019-03-11,249086
2019-03-12,281695
2019-03-13,285545
2019-03-14,300680
2019-03-15,311941
2019-03-16,289261
2019-03-17,203794
2019-03-18,232492
2019-03-19,252573
2019-03-20,265607
2019-03-21,294250
2019-03-22,300815
2019-03-23,270679
2019-03-24,188171
2019-03-25,224696
2019-03-26,253854
2019-03-27,265829
2019-03-28,279180
2019-03-29,285900
2019-03-30,269348
2019-03-31,200912
2019-04-01,245386
2019-04-02,271695
2019-04-03,280603
2019-04-04,295720
2019-04-05,316473
2019-04-06,283755
2019-04-07,200373
2019-04-08,237774
2019-04-09,270197
2019-04-10,273729
2019-04-11,287719
2019-04-12,303339
2019-04-13,283752
2019-04-14,201247
2019-04-15,259000
2019-04-16,263538
2019-04-17,277289
2019-04-18,283359
2019-04-19,257366
2019-04-20,219194
2019-04-21,176605
2019-04-22,221539
2019-04-23,246154
2019-04-24,253005
2019-04-25,282397
2019-04-26,275082
2019-04-27,269039
2019-04-28,194198
2019-04-29,237925
2019-04-30,264865
2019-05-01,280092
2019-05-02,293918
2019-05-03,298516
2019-05-04,282847
2019-05-05,210120
2019-05-06,236880
2019-05-07,262510
2019-05-08,268916
2019-05-09,285285
2019-05-10,289431
2019-05-11,261613
2019-05-12,209517
2019-05-13,253507
2019-05-14,271492
2019-05-15,270532
2019-05-16,277369
2019-05-17,292378
2019-05-18,269648
2019-05-19,204902
2019-05-20,247275
2019-05-21,264626
2019-05-22,273157
2019-05-23,268611
2019-05-24,240782
2019-05-25,189692
2019-05-26,162017
2019-05-27,150732
2019-05-28,236893
2019-05-29,256767
2019-05-30,272312
2019-05-31,280993
2019-06-01,256727
2019-06-02,195151
2019-06-03,234697
2019-06-04,235381
2019-06-05,263335
2019-06-06,276612
2019-06-07,270468
2019-06-08,240660
2019-06-09,176391
2019-06-10,230666
2019-06-11,249225
2019-06-12,263123
2019-06-13,277612
2019-06-14,263166
2019-06-15,227524
2019-06-16,174855
2019-06-17,224407
2019-06-18,253188
2019-06-19,259066
2019-06-20,270150
2019-06-21,267453
2019-06-22,228563
2019-06-23,185671
2019-06-24,226665
2019-06-25,250269
2019-06-26,259867
2019-06-27,269463
2019-06-28,263505
2019-06-29,222390
2019-06-30,153918
2019-07-01,193096
2019-07-02,207146
2019-07-03,189741
2019-07-04,124791
2019-07-05,152950
2019-07-06,164502
2019-07-07,149913
2019-07-08,195423
2019-07-09,224873
2019-07-10,243090
2019-07-11,249990
2019-07-12,237980
2019-07-13,218754
2019-07-14,163462
2019-07-15,206878
2019-07-16,238580
2019-07-17,257722
2019-07-18,249005
2019-07-19,257979
2019-07-20,202400
2019-07-21,168789
2019-07-22,221959
2019-07-23,229180
2019-07-24,238741
2019-07-25,247640
2019-07-26,232586
2019-07-27,199610
2019-07-28,161856
2019-07-29,203244
2019-07-30,230766
2019-07-31,232547
2019-08-01,244676
2019-08-02,230061
2019-08-03,196717
2019-08-04,158005
2019-08-05,195122
2019-08-06,222625
2019-08-07,226341
2019-08-08,239256
2019-08-09,221646
2019-08-10,187565
2019-08-11,144113
2019-08-12,190763
2019-08-13,211781
2019-08-14,219318
2019-08-15,226273
2019-08-16,215213
2019-08-17,191411
2019-08-18,157724
2019-08-19,188246
2019-08-20,207557
2019-08-21,218064
2019-08-22,231260
2019-08-23,210536
2019-08-24,185920
2019-08-25,149246
2019-08-26,176014
2019-08-27,195523
2019-08-28,208870
2019-08-29,207695
2019-08-30,199425
2019-08-31,166586
2019-09-01,144620
2019-09-02,136525
2019-09-03,205165
2019-09-04,233035
2019-09-05,250595
2019-09-06,256206
2019-09-07,224894
2019-09-08,171663
2019-09-09,217534
2019-09-10,241567
2019-09-11,248453
2019-09-12,269956
2019-09-13,264937
2019-09-14,237342
2019-09-15,181007
2019-09-16,222617
2019-09-17,239834
2019-09-18,248568
2019-09-19,260284
2019-09-20,262926
2019-09-21,242956
2019-09-22,183040
2019-09-23,200312
2019-09-24,217457
2019-09-25,223323
2019-09-26,246807
2019-09-27,256159
2019-09-28,238991
2019-09-29,175312
2019-09-30,184950
2019-10-01,217762
2019-10-02,251171
2019-10-03,266137
2019-10-04,273269
2019-10-05,241328
2019-10-06,173860
2019-10-07,225049
2019-10-08,229547
2019-10-09,233265
2019-10-10,259938
2019-10-11,264142
2019-10-12,237421
2019-10-13,174831
2019-10-14,185308
2019-10-15,242731
2019-10-16,244695
2019-10-17,270439
2019-10-18,276412
2019-10-19,248164
2019-10-20,188039
2019-10-21,215621
2019-10-22,243502
2019-10-23,249175
2019-10-24,262910
2019-10-25,271351
2019-10-26,256366
2019-10-27,176291
2019-10-28,218560
2019-10-29,242905
2019-10-30,249246
2019-10-31,264265
2019-11-01,280304
2019-11-02,259186
2019-11-03,189735
2019-11-04,221631
2019-11-05,233981
2019-11-06,249351
2019-11-07,267527
2019-11-08,278450
2019-11-09,250705
2019-11-10,185594
2019-11-11,195613
2019-11-12,247664
2019-11-13,255947
2019-11-14,268623
2019-11-15,270815
2019-11-16,264718
2019-11-17,190189
2019-11-18,231115
2019-11-19,240377
2019-11-20,255451
2019-11-21,269446
2019-11-22,253916
2019-11-23,250865
2019-11-24,185945
2019-11-25,216158
2019-11-26,227879
2019-11-27,209544
2019-11-28,131728
2019-11-29,177233
2019-11-30,202851
2019-12-01,178352
2019-12-02,214295
2019-12-03,253869
2019-12-04,257190
2019-12-05,281306
2019-12-06,284569
2019-12-07,274521
2019-12-08,201168
2019-12-09,228384
2019-12-10,253519
2019-12-11,273948
2019-12-12,287803
2019-12-13,280367
2019-12-14,274587
2019-12-15,211497
