date,mean_percent,median_percent,max_amount,count
2021-01-01,16.157890943876694,19.923371647509576,14.73,233
2021-01-02,16.06918642248428,20.0,11.78,414
2021-01-03,17.327859981072933,20.0,10.96,333
2021-01-04,15.05075545112022,16.611295681063122,19.8,467
2021-01-05,16.08445903648571,19.92753623188406,15.08,442
2021-01-06,15.9152376971724,19.999999999999996,15.0,492
2021-01-07,15.289009069280773,19.955654101995567,14.73,452
2021-01-08,16.047587470702247,19.936708860759495,18.51,476
2021-01-09,16.529196868500172,20.0,12.2,444
2021-01-10,17.937186392974304,20.0,11.78,372
2021-01-11,15.933515284872964,19.935691318327976,14.64,474
2021-01-12,16.452412034080943,19.971469329529246,14.2,435
2021-01-13,16.724863854848344,20.0,12.65,487
2021-01-14,16.52521573359109,19.9501246882793,13.29,483
2021-01-15,16.22492241387587,19.985412107950403,20.55,457
2021-01-16,17.52266749616618,19.999999999999996,20.0,427
2021-01-17,18.05921215082929,20.0,42.0,362
2021-01-18,16.132373138702064,19.935691318327976,14.14,379
2021-01-19,15.7233300429653,19.999999999999996,16.05,490
2021-01-20,16.416144613494176,20.0,38.73,455
2021-01-21,14.833300569526758,19.960474308300395,15.62,456
2021-01-22,15.300700175177173,19.999999999999996,15.32,468
2021-01-23,14.987684206014237,19.994022713687986,13.38,485
2021-01-24,17.028447632924507,19.999999999999996,15.0,394
2021-01-25,14.497908981875652,19.852941176470587,10.68,450
2021-01-26,15.469546330660524,20.0,11.9,452
2021-01-27,14.25726562448546,19.923371647509576,18.3,464
2021-01-28,16.33953852332241,20.0,58.7,463
2021-01-29,16.70077071236763,19.971870604781998,12.0,482
2021-01-30,15.051020444442456,19.999999999999996,13.5,410
2021-01-31,17.875457916698814,20.0,11.11,392
2021-02-01,23.70219738316598,20.0,20.0,40
2021-02-02,16.20027869261975,19.943019943019944,20.0,288
2021-02-03,15.987678801347549,19.96497373029772,11.51,350
2021-02-04,14.462246462481495,19.943019943019944,20.08,325
2021-02-05,15.11846067064072,19.88243430152144,15.88,414
2021-02-06,15.179418965290356,19.960079840319363,16.55,396
2021-02-07,17.073797474559473,20.0,11.0,286
2021-02-08,13.903910484267195,19.827586206896548,16.44,421
2021-02-09,15.065348263049488,19.928825622775797,14.6,426
2021-02-10,15.492363726418763,19.999999999999996,17.68,440
2021-02-11,15.84070721777966,19.960079840319363,71.58,442
2021-02-12,16.312178923765746,19.999999999999996,15.0,478
2021-02-13,15.898504167336593,19.98361998361998,20.0,473
2021-02-14,16.749749959870847,20.0,13.63,417
2021-02-15,17.00023857706147,20.0,55.2,428
2021-02-16,15.155227597903991,19.99321113374066,11.78,457
2021-02-17,15.613722578746447,19.972826086956523,16.35,421
2021-02-18,17.718759909801737,20.0,16.13,341
2021-02-19,16.735967606285737,20.0,20.0,485
2021-02-20,15.821608463559627,20.0,12.02,480
2021-02-21,16.06101405518544,20.0,11.86,393
2021-02-22,14.660330385417186,19.940476190476193,18.92,439
2021-02-23,15.116703674734675,19.93127147766323,13.55,437
2021-02-24,15.550667882989783,19.99321113374066,15.0,412
2021-02-25,16.827843432053964,19.961612284069098,21.16,414
2021-02-26,15.793989155484303,19.98567335243553,19.3,415
2021-02-27,15.86700102537692,19.969278033794165,12.62,435
2021-02-28,15.749661311814192,19.999999999999996,10.36,402
2021-03-01,16.791524444741256,19.23076923076923,56.44,418
2021-03-02,15.018403257702722,19.947506561679788,20.68,423
2021-03-03,16.656008280923285,19.999999999999996,54.41,419
2021-03-04,16.45486286083931,19.982547993019196,20.0,428
2021-03-05,16.24203930681589,20.0,10.98,440
2021-03-06,15.649004654542026,19.999999999999996,26.96,475
2021-03-07,15.591241218435457,20.0,10.0,364
2021-03-08,15.028799859533557,19.960079840319363,30.0,476
2021-03-09,14.257890218718538,17.543859649122805,12.0,444
2021-03-10,13.983798559022448,19.90740740740741,10.9,470
2021-03-11,14.583764786933747,19.95708154506438,11.96,414
2021-03-12,14.887722310362161,19.946091644204852,10.06,424
2021-03-13,15.248965805838994,19.923371647509576,14.73,439
2021-03-14,16.858750415941557,20.0,20.0,359
2021-03-15,14.959642107882697,19.897959183673468,15.95,453
2021-03-16,14.73003628177359,20.0,16.14,440
2021-03-17,16.116399769250425,19.915254237288135,100.0,435
2021-03-18,15.01785655551263,19.92619926199262,18.43,403
2021-03-19,14.791991045106156,19.9203187250996,44.21,440
