date,mean_percent,median_percent,max_amount,count
2019-01-01,14.347352372404751,19.91150442477876,40.0,5612
2019-01-02,10.42423446309773,7.518796992481203,25.7,6323
2019-01-03,10.445126963257193,8.130081300813007,55.0,6722
2019-01-04,10.655077887992071,8.771929824561402,25.82,6984
2019-01-05,13.230420721332631,18.074074074074076,30.0,6886
2019-01-06,12.370735399579006,15.810276679841898,20.0,6731
2019-01-07,10.44183397222508,8.433734939759036,22.5,6457
2019-01-08,10.122440298574949,4.854368932038835,40.08,6589
2019-01-09,10.19559695454903,4.557640750670242,19.26,7240
2019-01-10,10.967149178846261,10.576923076923077,24.0,7603
2019-01-11,11.424741912050457,11.904761904761903,55.22,7376
2019-01-12,12.83614060228688,16.853932584269664,35.0,7094
2019-01-13,12.551577296562307,16.94915254237288,20.65,6616
2019-01-14,10.405761315310194,7.8125,30.0,6450
2019-01-15,10.21425940274862,6.191950464396285,27.8,6856
2019-01-16,10.114922294348554,4.166666666666666,50.0,7267
2019-01-17,10.685559493629704,9.433962264150944,40.0,7294
2019-01-18,11.825986698236395,12.912280701754387,80.0,7387
2019-01-19,13.44899972752112,19.41747572815534,30.0,6734
2019-01-20,14.506610326519912,19.940476190476193,56.14,5991
2019-01-21,13.631387435269085,18.867924528301888,30.0,5316
2019-01-22,10.439853402631204,7.518796992481203,50.0,6665
2019-01-23,10.128136024685562,4.484304932735426,27.0,7084
2019-01-24,10.951142816448472,10.000000000000002,30.0,7038
2019-01-25,10.60793086977849,8.498583569405099,45.28,7344
2019-01-26,12.859171742501132,16.504854368932037,88.0,7299
2019-01-27,12.235403710679392,15.0,100.0,6775
2019-01-28,10.323606491975916,6.493506493506494,70.43,6974
2019-01-29,10.388722471478046,7.38255033557047,24.2,6735
2019-01-30,11.628622314746574,12.82051282051282,35.2,6902
2019-01-31,11.901392259040378,13.98230088495575,40.0,7081
2019-02-01,11.210965907335012,10.926234054353854,25.74,7326
2019-02-02,12.654247042122105,16.39344262295082,50.0,7040
2019-02-03,12.207590719716253,14.991243432574434,87.07,7037
2019-02-04,9.986823808287403,3.7037037037037033,22.39,6552
2019-02-05,9.630772089181942,0.0,20.08,6745
2019-02-06,10.204920454136602,0.09049773755656108,85.43,7258
2019-02-07,10.326815364449606,7.127583749109053,24.46,7138
2019-02-08,10.6959267049543,9.523809523809522,39.98,7207
2019-02-09,12.50646494338166,15.873015873015872,26.41,7399
2019-02-10,12.130979342670749,15.0,25.8,6623
2019-02-11,10.293967266749004,7.476635514018691,25.52,6798
2019-02-12,11.30057196266708,11.650485436893202,19.19,5834
2019-02-13,10.224286136742064,4.484304932735426,17.57,6369
2019-02-14,9.807999086078526,0.0,36.8,6369
2019-02-15,10.50338408701372,8.968609865470851,31.75,6692
2019-02-16,12.32477628065271,15.06024096385542,100.0,6583
2019-02-17,12.043042109769951,13.986013986013985,88.8,6495
2019-02-18,12.489292123505201,15.068493150684931,36.0,5787
2019-02-19,9.311274225913687,0.0,68.0,7020
2019-02-20,10.929823987088547,10.012642225031607,25.7,6806
2019-02-21,9.979854735299867,0.3474903474903475,21.46,6630
2019-02-22,10.398609435050401,8.130081300813007,17.0,7103
2019-02-23,12.826722002428257,16.260162601626014,40.0,6880
2019-02-24,12.33146784607239,15.112781954887216,20.2,6149
2019-02-25,10.270362562979736,5.115089514066496,18.0,6549
2019-02-26,9.968477003777332,0.0,110.0,6597
2019-02-27,10.11911184880239,5.124835742444152,25.0,6690
2019-02-28,11.96923750396028,13.843137254901961,46.0,5859
2019-03-01,10.928760415314827,10.0,35.15,6210
2019-03-02,12.923967794320374,16.524373450839988,80.0,5836
2019-03-03,11.98704328774554,14.265335235378032,88.8,6016
2019-03-04,11.744537963375821,13.962580284836637,20.82,5740
2019-03-05,10.183530917514204,3.696857670979667,30.31,5840
2019-03-06,10.286710514246204,7.246376811594203,20.52,6366
2019-03-07,10.327396779407868,6.0419235511713945,25.0,6294
2019-03-08,10.90109867239087,10.0,28.95,5906
2019-03-09,13.084174439619447,19.81132075471698,35.0,6065
2019-03-10,13.455308831520119,18.51851851851852,51.5,5814
2019-03-11,10.37707210855006,8.583690987124463,30.06,5785
2019-03-12,10.631991945653807,9.25925925925926,17.86,5983
2019-03-13,10.234768301352307,5.0,31.74,6563
2019-03-14,10.075327186852736,0.949367088607595,30.74,6648
2019-03-15,10.89396445948463,10.066225165562912,25.45,6229
2019-03-16,12.288677156064121,15.105740181268882,22.2,6353
2019-03-17,11.84646916262005,14.978354978354979,25.7,6078
2019-03-18,10.088230101226076,5.188067444876784,25.0,6032
2019-03-19,9.989227599763023,0.0,121.0,6062
2019-03-20,10.2712996552034,7.352941176470589,20.7,6291
2019-03-21,11.357001029241905,12.019230769230768,33.99,6124
2019-03-22,11.856417369479823,13.311148086522465,65.42,6161
2019-03-23,12.69394235382448,15.873015873015872,101.0,6497
2019-03-24,12.135968763157491,14.705882352941178,100.0,5755
2019-03-25,10.842130338547033,7.380073800738007,222.22,6001
2019-03-26,10.742025383727803,9.020979020979022,19.72,5922
2019-03-27,10.768306217300214,9.523809523809522,25.59,6333
2019-03-28,10.783805392997998,9.646302250803858,40.0,6350
2019-03-29,11.255845031560426,10.0,88.8,5892
2019-03-30,12.653070852594036,16.279069767441857,27.69,6028
2019-03-31,12.727580059309721,15.873015873015872,66.51,5905
2019-04-01,10.905786892319345,10.507880910683012,21.84,5655
2019-04-02,10.987494597194573,10.695187165775401,21.26,6049
2019-04-03,10.205305153889444,5.9880239520958085,40.0,6024
2019-04-04,11.221166099614214,9.98650472334683,100.0,6112
2019-04-05,11.436726155588344,11.516314779270633,100.0,5874
2019-04-06,12.860710521465023,16.33986928104575,31.67,5860
