date,mean_percent,median_percent,max_amount,count
2020-01-01,18.04332657175806,20.0,40.0,2918
2020-01-02,17.02151694953503,20.0,36.0,2575
2020-01-03,17.540941354744092,20.0,150.0,2908
2020-01-04,17.263093350316854,20.0,40.0,3042
2020-01-05,17.279763801388125,20.0,24.26,2810
2020-01-06,16.818666263928606,20.0,39.0,2616
2020-01-07,17.1624796217008,20.0,40.0,2800
2020-01-08,17.28040829108635,20.0,38.0,2985
2020-01-09,17.335472626234147,20.0,19.11,2972
2020-01-10,17.606692854267678,20.0,160.0,2786
2020-01-11,17.681392718906118,20.0,80.0,3315
2020-01-12,17.21860417763591,20.0,36.0,2941
2020-01-13,17.161974653822213,20.0,30.0,2946
2020-01-14,17.179022764942665,20.0,38.0,2740
2020-01-15,17.440083368013337,20.0,40.0,2931
2020-01-16,17.937228514161376,20.0,35.0,3178
2020-01-17,18.057306999279778,20.0,150.0,3245
2020-01-18,17.850088962563067,20.0,35.0,2868
2020-01-19,17.667987287744584,20.0,35.0,3170
2020-01-20,17.491715197126307,20.0,38.0,2613
2020-01-21,17.230271014061067,20.0,30.0,2853
2020-01-22,17.4530351358098,20.0,25.0,3032
2020-01-23,17.42765766013387,20.0,105.55,3107
2020-01-24,17.135953671258903,20.0,25.0,3083
2020-01-25,17.522867584156845,20.0,22.25,3474
2020-01-26,17.44000333968863,20.0,40.0,3089
2020-01-27,17.144781982554257,20.0,42.78,2895
2020-01-28,17.4610257233012,20.0,110.0,2904
2020-01-29,17.256163203039407,20.0,25.0,3106
2020-01-30,17.417663479508786,20.0,25.0,3179
2020-01-31,17.479092787780544,20.0,35.2,3096
2020-02-01,17.57878905804737,20.0,17.2,3328
2020-02-02,17.736922917774297,20.0,100.08,3201
2020-02-03,16.79695016582128,20.0,80.0,2672
2020-02-04,17.39819071759329,20.0,25.8,2802
2020-02-05,17.178897998688143,20.0,25.0,3146
2020-02-06,17.41295363826069,20.0,25.0,3141
2020-02-07,17.78827571869742,20.0,45.0,3192
2020-02-08,17.285554160825836,20.0,31.96,3413
2020-02-09,17.752916050496992,20.0,80.0,3120
2020-02-10,17.303456503112177,20.0,25.0,2742
2020-02-11,17.30405865151322,20.0,46.0,2760
2020-02-12,17.854695761391994,20.0,222.22,3167
2020-02-13,17.416766358730705,20.0,25.0,2990
2020-02-14,16.974348083498672,20.0,28.01,3019
2020-02-15,17.11813554162716,20.0,30.08,3306
2020-02-16,17.180074290417267,20.0,19.96,2824
2020-02-17,17.30930605993473,20.0,40.0,2780
2020-02-18,17.70333414137473,20.0,99.93,2933
2020-02-19,18.176619967170783,20.0,151.5,3197
2020-02-20,17.655707238878282,20.0,25.0,3342
2020-02-21,18.028220372854737,20.0,160.0,3380
2020-02-22,17.218433060305642,20.0,89.91,3224
2020-02-23,17.256966964981135,20.0,27.0,2951
2020-02-24,17.255724932743394,20.0,29.46,2728
2020-02-25,17.349413289169235,20.0,25.0,2637
2020-02-26,17.305847215066336,20.0,25.0,2907
2020-02-27,18.04081558374739,20.0,80.0,3248
2020-02-28,17.92537158997295,20.0,80.0,2997
2020-02-29,17.67506315863995,20.0,58.92,3381
2020-03-01,17.353910908044504,20.0,60.0,2976
2020-03-02,16.78534001520626,20.0,37.55,2525
2020-03-03,17.84300250960046,20.0,27.27,2632
2020-03-04,17.58112018170066,20.0,43.02,2801
2020-03-05,17.617423529417692,20.0,45.0,2916
2020-03-06,19.269788220655123,20.0,284.2,2785
2020-03-07,17.312113660637802,20.0,30.09,3131
2020-03-08,17.420411448395296,20.0,75.0,2783
2020-03-09,16.673861281751552,20.0,25.0,2283
2020-03-10,17.118585186232103,20.0,25.0,2384
2020-03-11,16.722322286724356,20.0,25.8,2421
2020-03-12,17.10294573819698,20.0,23.29,2363
2020-03-13,17.795108833075155,20.0,404.12,2112
2020-03-14,16.728235249329142,20.0,30.0,1898
2020-03-15,16.56863460019818,20.0,19.81,1506
2020-03-16,16.532793988810564,20.0,50.0,1595
2020-03-17,15.984236281049293,19.999999999999996,25.0,1307
2020-03-18,15.045945537832667,19.959266802443995,50.0,1173
2020-03-19,15.01705992974447,19.90521327014218,24.61,1033
2020-03-20,14.840781186664067,19.827586206896548,20.01,938
2020-03-21,13.906262753978748,17.94871794871795,22.0,588
2020-03-22,14.821498998089593,19.863013698630137,21.05,406
2020-03-23,15.32578418317407,19.91869918699187,14.02,531
