hour,count
0,4811049
1,5567086
2,5591831
3,5618775
4,5860328
5,6067684
6,6197661
7,6414293
8,6192954
9,6213362
10,7096622
11,7605085
12,7314774
13,6889120
14,6699453
15,6097262
16,4974363
17,3718675
18,2709929
19,1974695
20,1444056
21,1205025
22,1695235
23,3283317
