hour,count
0,1068668
1,1171130
2,1188852
3,1264120
4,1364843
5,1423464
6,1509751
7,1562503
8,1524641
9,1610487
10,1700805
11,1554897
12,1322206
13,1195077
14,1047948
15,802293
16,579795
17,386223
18,253065
19,175256
20,127149
21,148147
22,362416
23,765051
