hour,count
0,923938
1,1206842
2,1367496
3,1519875
4,1660974
5,1794415
6,1867270
7,1989173
8,1980043
9,1965916
10,2058773
11,2013762
12,1726866
13,1440097
14,1308366
15,1118135
16,840808
17,569717
18,367038
19,236022
20,150589
21,121568
22,234436
23,556692
