hour,count
0,4350488
1,5027762
2,5089641
3,5139883
4,5372907
5,5587769
6,5705075
7,5916681
8,5731687
9,5770226
10,6504913
11,6849992
12,6456259
13,6017771
14,5863488
15,5263298
16,4202837
17,2982588
18,2080534
19,1499296
20,1102297
21,969488
22,1494907
23,2962562
