locationID,Borough,Zone,service_zone,count,0_tip_ratio
51,Bronx,Co-Op City,Boro Zone,878.0,0.8018264840182648
222,Brooklyn,Starrett City,Boro Zone,342.0,0.7953488372093023
81,Bronx,Eastchester,Boro Zone,433.0,0.7787769784172662
35,Brooklyn,Brownsville,Boro Zone,717.0,0.7734627831715211
254,Bronx,Williamsbridge/Olinville,Boro Zone,694.0,0.7719688542825361
117,Queens,Hammels/Arverne,Boro Zone,349.0,0.7210743801652892
213,Bronx,Soundview/Castle Hill,Boro Zone,921.0,0.7161741835147745
76,Brooklyn,East New York,Boro Zone,1226.0,0.7029816513761468
32,Bronx,Bronxdale,Boro Zone,330.0,0.7021276595744681
242,Bronx,Van Nest/Morris Park,Boro Zone,796.0,0.6964129483814523
47,Bronx,Claremont/Bathgate,Boro Zone,318.0,0.6838709677419355
39,Brooklyn,Canarsie,Boro Zone,922.0,0.6506704304869443
235,Bronx,University Heights/Morris Heights,Boro Zone,536.0,0.646562123039807
248,Bronx,West Farms/Bronx River,Boro Zone,323.0,0.6447105788423154
250,Bronx,Westchester Village/Unionport,Boro Zone,353.0,0.6418181818181818
86,Queens,Far Rockaway,Boro Zone,308.0,0.6403326403326404
108,Brooklyn,Gravesend,Boro Zone,322.0,0.6388888888888888
183,Bronx,Pelham Bay,Boro Zone,232.0,0.6373626373626373
205,Queens,Saint Albans,Boro Zone,933.0,0.6199335548172757
60,Bronx,Crotona Park East,Boro Zone,202.0,0.6196319018404908
174,Bronx,Norwood,Boro Zone,529.0,0.6194379391100703
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,472.0,0.6194225721784777
259,Bronx,Woodlawn/Wakefield,Boro Zone,374.0,0.6192052980132451
169,Bronx,Mount Hope,Boro Zone,418.0,0.5912305516265912
3,Bronx,Allerton/Pelham Gardens,Boro Zone,314.0,0.5902255639097744
147,Bronx,Longwood,Boro Zone,240.0,0.58679706601467
29,Brooklyn,Brighton Beach,Boro Zone,419.0,0.5763411279229711
71,Brooklyn,East Flatbush/Farragut,Boro Zone,466.0,0.5760197775030902
122,Queens,Hollis,Boro Zone,240.0,0.5741626794258373
91,Brooklyn,Flatlands,Boro Zone,625.0,0.5723443223443223
55,Brooklyn,Coney Island,Boro Zone,806.0,0.5720369056068133
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,517.0,0.5650273224043716
139,Queens,Laurelton,Boro Zone,343.0,0.5641447368421053
212,Bronx,Soundview/Bruckner,Boro Zone,374.0,0.5590433482810164
191,Queens,Queens Village,Boro Zone,440.0,0.547945205479452
18,Bronx,Bedford Park,Boro Zone,338.0,0.5331230283911672
218,Queens,Springfield Gardens North,Boro Zone,554.0,0.5139146567717996
159,Bronx,Melrose South,Boro Zone,525.0,0.5102040816326531
182,Bronx,Parkchester,Boro Zone,434.0,0.5093896713615024
197,Queens,Richmond Hill,Boro Zone,923.0,0.4941113490364026
119,Bronx,Highbridge,Boro Zone,430.0,0.4886363636363636
185,Bronx,Pelham Parkway,Boro Zone,351.0,0.4854771784232365
177,Brooklyn,Ocean Hill,Boro Zone,466.0,0.4839044652128764
210,Brooklyn,Sheepshead Bay,Boro Zone,664.0,0.4702549575070821
21,Brooklyn,Bensonhurst East,Boro Zone,285.0,0.46875
215,Queens,South Jamaica,Boro Zone,682.0,0.4652114597544338
63,Brooklyn,Cypress Hills,Boro Zone,218.0,0.4589473684210526
123,Brooklyn,Homecrest,Boro Zone,321.0,0.4579172610556348
20,Bronx,Belmont,Boro Zone,215.0,0.4526315789473684
241,Bronx,Van Cortlandt Village,Boro Zone,308.0,0.4463768115942029
22,Brooklyn,Bensonhurst West,Boro Zone,392.0,0.4459613196814562
203,Queens,Rosedale,Boro Zone,262.0,0.4440677966101695
149,Brooklyn,Madison,Boro Zone,293.0,0.4412650602409638
150,Brooklyn,Manhattan Beach,Boro Zone,240.0,0.4387568555758683
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,346.0,0.4379746835443038
101,Queens,Glen Oaks,Boro Zone,191.0,0.4360730593607306
38,Queens,Cambria Heights,Boro Zone,241.0,0.427304964539007
11,Brooklyn,Bath Beach,Boro Zone,145.0,0.4239766081871345
9,Queens,Auburndale,Boro Zone,259.0,0.4170692431561997
69,Bronx,East Concourse/Concourse Village,Boro Zone,634.0,0.4149214659685863
131,Queens,Jamaica Estates,Boro Zone,399.0,0.4126163391933816
19,Queens,Bellerose,Boro Zone,179.0,0.4114942528735632
85,Brooklyn,Erasmus,Boro Zone,282.0,0.4081041968162084
165,Brooklyn,Midwood,Boro Zone,427.0,0.4028301886792453
171,Queens,Murray Hill-Queens,Boro Zone,298.0,0.4027027027027027
15,Queens,Bay Terrace/Fort Totten,Boro Zone,202.0,0.3892100192678227
26,Brooklyn,Borough Park,Boro Zone,378.0,0.3872950819672131
56,Queens,Corona,Boro Zone,444.0,0.3844155844155844
124,Queens,Howard Beach,Boro Zone,230.0,0.3833333333333333
175,Queens,Oakland Gardens,Boro Zone,177.0,0.375
121,Queens,Hillcrest/Pomonok,Boro Zone,466.0,0.3669291338582677
258,Queens,Woodhaven,Boro Zone,309.0,0.359720605355064
16,Queens,Bayside,Boro Zone,301.0,0.3528722157092614
173,Queens,North Corona,Boro Zone,210.0,0.3409090909090909
168,Bronx,Mott Haven/Port Morris,Boro Zone,842.0,0.334658187599364
64,Queens,Douglaston,Boro Zone,132.0,0.3142857142857143
102,Queens,Glendale,Boro Zone,196.0,0.3125996810207336
216,Queens,South Ozone Park,Boro Zone,710.0,0.3084274543874891
