date,mean_percent,median_percent,max_amount,count
2021-01-01,19.188154335563194,20.0,99.0,15029
2021-01-02,19.172896232455223,20.0,109.15,22514
2021-01-03,19.241020632293353,20.0,100.0,17409
2021-01-04,18.805717042713457,20.0,696.48,28157
2021-01-05,18.88272452009519,20.0,99.0,30126
2021-01-06,18.991687140864034,20.0,100.0,32340
2021-01-07,18.82998937565132,20.0,95.0,32837
2021-01-08,18.896505024472397,20.0,100.0,33307
2021-01-09,19.13633582620741,20.0,230.0,27129
2021-01-10,18.99170516209615,20.0,91.0,20597
2021-01-11,18.937089872576543,20.0,145.0,30386
2021-01-12,18.987252688413555,20.0,111.41,33042
2021-01-13,19.02156247600337,20.0,100.0,34298
2021-01-14,18.933552736750624,20.0,95.0,35413
2021-01-15,18.973579130799017,20.0,99.0,35255
2021-01-16,18.9352066013743,20.0,100.0,26537
2021-01-17,19.034673701452075,20.0,60.0,22090
2021-01-18,18.89767855066669,20.0,90.0,25349
2021-01-19,19.01179805185863,20.0,200.8,34279
2021-01-20,18.824363766807974,20.0,99.0,33823
2021-01-21,18.728131230713227,20.0,57.67,36693
2021-01-22,18.97811503791219,20.0,92.55,37005
2021-01-23,18.896520324248623,20.0,100.0,29580
2021-01-24,18.8029325180013,20.0,55.0,21716
2021-01-25,18.816900909733093,20.0,70.38,31417
2021-01-26,18.853458179712813,20.0,250.0,32455
2021-01-27,18.867207615144654,20.0,100.0,35854
2021-01-28,18.896473605903758,20.0,77.14,38557
2021-01-29,18.884419177411154,20.0,69.5,37577
2021-01-30,18.882079231668598,20.0,199.12,27352
2021-01-31,19.176306589794837,20.0,108.5,21624
2021-02-01,20.772290955446802,20.0,50.0,3319
2021-02-02,18.88464779370589,20.0,111.0,19556
2021-02-03,18.656278126808093,20.0,78.0,38208
2021-02-04,18.596789998613,20.0,80.0,40197
2021-02-05,18.66326052506811,20.0,100.0,39315
2021-02-06,18.888530317749037,20.0,63.25,35191
2021-02-07,19.282754914051576,20.0,100.0,19328
2021-02-08,18.76837935739917,20.0,116.94,34530
2021-02-09,18.839634538707507,20.0,94.0,35754
2021-02-10,18.724476858065962,20.0,110.0,39374
2021-02-11,18.85658419173225,20.0,98.0,40224
2021-02-12,18.880058568683296,20.0,88.0,43673
2021-02-13,19.00269108410787,20.0,50.04,33345
2021-02-14,18.712847301104098,20.0,55.0,27483
2021-02-15,18.847526692873583,20.0,88.08,27513
2021-02-16,18.778806770051197,20.0,72.0,34091
2021-02-17,18.837543987273904,20.0,70.0,40660
2021-02-18,19.287795285064856,20.0,70.0,25730
2021-02-19,19.01850903078657,20.0,99.0,37290
2021-02-20,19.0118530044617,20.0,95.0,36422
2021-02-21,19.32897981287417,20.0,400.0,25946
2021-02-22,18.892178463498144,20.0,70.07,34127
2021-02-23,18.97105495943688,20.0,100.0,38869
2021-02-24,18.93465228054759,20.0,333.0,40764
2021-02-25,18.899755684885427,20.0,80.0,42400
2021-02-26,18.889482666189906,20.0,89.85,42239
2021-02-27,19.2444635541337,20.0,233.0,34518
2021-02-28,18.965456512015656,20.0,85.0,26449
2021-03-01,18.751153574974527,20.0,88.85,36604
2021-03-02,18.90832924717018,20.0,211.0,42523
2021-03-03,18.888220425771756,20.0,99.0,43020
2021-03-04,19.06818285758118,20.0,220.0,46735
2021-03-05,18.746664227487102,20.0,95.88,48428
2021-03-06,19.050448743696982,20.0,200.0,39357
2021-03-07,18.876805138672278,20.0,120.08,27284
2021-03-08,18.904060697517153,20.0,222.52,37806
2021-03-09,18.726350238643384,20.0,50.0,42002
2021-03-10,18.87787656094587,20.0,100.0,44829
2021-03-11,18.770506515495473,20.0,99.0,47215
