PULocationID,min,max,median,Q2,Q4
188,0.018604651162790697,96.0,10.345169281585466,8.203193033381712,0.018604651162790697
94,0.03358208955223881,96.0,11.461224489795917,8.65664739884393,0.03358208955223881
149,0.0071428571428571435,89.31958762886599,11.327586206896552,8.946236559139784,0.0071428571428571435
25,0.0082436455232425,98.60098522167486,11.19327731092437,8.852459016393441,0.0082436455232425
226,0.003932707013327507,99.43636363636365,12.334047109207711,9.62566844919786,0.003932707013327507
141,0.00336417157275021,99.51219512195122,10.318471337579616,7.666666666666667,0.00336417157275021
230,0.00358530026889752,99.84375,9.42603550295858,6.881118881118881,0.00358530026889752
36,0.011176653213287799,99.6923076923077,13.271019873334787,10.984472049689442,0.011176653213287799
78,0.010315186246418338,99.0,12.742334588488434,9.355932203389832,0.010315186246418338
18,0.022113022113022112,99.0,12.699212598425197,9.069613259668508,0.022113022113022112
126,0.01762114537444934,96.92307692307692,13.484704282800816,9.433562731604024,0.01762114537444934
228,0.029850746268656716,96.75,12.883208461877476,10.053658536585367,0.029850746268656716
119,0.013610586011342154,99.0,13.79714091218516,9.48502994011976,0.013610586011342154
98,0.06275421266705404,93.6,15.406283856988082,12.09375,0.06275421266705404
232,0.008014247551202136,99.6923076923077,11.52,8.564210526315788,0.008014247551202136
203,0.062219149671621156,99.69230769230771,20.314658925979682,14.863836017569547,0.062219149671621156
72,0.029544521953221173,99.0,10.43664996420902,8.51101321585903,0.029544521953221173
87,0.003579596301083822,99.67659574468085,13.070539419087137,9.412844036697246,0.003579596301083822
235,0.011336202372205312,99.0,13.558441558441558,9.644444444444444,0.011336202372205312
5,0.12141652613827994,53.747368421052634,25.215227668574272,19.3953488372093,0.12141652613827994
250,0.006530019952838745,99.0,13.405263157894737,9.729729729729728,0.006530019952838745
219,0.011726384364820848,98.67857142857143,21.164144353899882,15.780429594272075,0.011726384364820848
120,0.1422924901185771,99.0,18.0,11.308270676691729,0.1422924901185771
85,0.014382740711146624,99.59896283491788,10.741506646971935,8.32904884318766,0.014382740711146624
111,1.1764705882352942,96.0,11.999999999999998,10.010526315789473,1.1764705882352942
67,0.019313304721030045,96.0,11.824390243902439,8.89090909090909,0.019313304721030045
254,0.04230317273795534,99.0,15.260115606936418,10.391752577319588,0.04230317273795534
131,0.024999999999999998,99.24324324324324,15.777777777777777,11.341532639545886,0.024999999999999998
225,0.009266409266409268,99.0,10.470914127423823,8.408817635270541,0.009266409266409268
61,0.00557016865232864,99.7752808988764,10.777310924369749,8.655737704918032,0.00557016865232864
160,0.006518196632265073,96.0,13.263905325443785,9.968354430379748,0.006518196632265073
200,0.012133468149646106,96.37826086956522,17.80505415162455,13.140643623361145,0.012133468149646106
55,0.02575107296137339,97.80530973451327,17.59467174119886,12.431506849315067,0.02575107296137339
75,0.0047028086218158065,99.57446808510637,11.307240704500977,8.686567164179104,0.0047028086218158065
172,0.17391304347826086,77.64705882352942,19.52862595419847,15.131999999999998,0.17391304347826086
216,0.007431874483897605,99.81818181818181,19.300802964793082,13.217391304347826,0.007431874483897605
38,0.049792531120331954,76.7803738317757,21.44360902255639,14.420027816411682,0.049792531120331954
231,0.005374738727978502,99.22969837587009,10.8816120906801,8.275862068965518,0.005374738727978502
189,0.006917090978960515,99.0,11.076923076923078,8.99565007249879,0.006917090978960515
112,0.004598875830352581,97.24137931034484,12.46153846153846,10.091644204851752,0.004598875830352581
237,0.0034900630150266603,99.7590361445783,9.1651376146789,6.957055214723926,0.0034900630150266603
50,0.0037468776019983344,99.57446808510637,10.837155963302752,7.930630419498477,0.0037468776019983344
32,0.006582556226001097,97.2,13.15718418514947,9.753424657534246,0.006582556226001097
84,0.19565217391304346,74.48275862068965,26.567999999999998,21.013574660633484,0.19565217391304346
110,4.867132867132867,22.04924874791319,10.10958904109589,4.867132867132867,4.867132867132867
100,0.003379964322598817,99.57446808510637,8.974976830398518,6.605504587155964,0.003379964322598817
105,0.3037974683544304,41.00648202710666,12.45674740484429,8.837914691943126,0.3037974683544304
223,0.012777284826974268,99.77142857142857,12.784615384615384,9.83359497645212,0.012777284826974268
82,0.00524093754549425,99.0,11.323210412147505,8.629213483146067,0.00524093754549425
211,0.003653338745687031,99.57446808510637,9.533333333333333,7.461139896373058,0.003653338745687031
246,0.004330566582461205,99.0,9.796976241900648,7.279411764705883,0.004330566582461205
138,0.0037059913526868438,99.69230769230771,19.32405566600398,14.81089145841104,0.0037059913526868438
89,0.0034806149086338586,99.89880159786951,11.35678391959799,8.733506493506493,0.0034806149086338586
247,0.0036817345060339538,99.31034482758622,12.167597765363128,9.254498714652955,0.0036817345060339538
108,0.05259313367421476,82.40963855421687,14.934010152284266,10.463054187192117,0.05259313367421476
127,0.006993686255463818,99.0,16.13144137415982,11.127272727272729,0.006993686255463818
205,0.039705882352941174,99.0,15.442285714285715,11.46047860768673,0.039705882352941174
220,0.019602504764497684,99.0,14.43850267379679,9.97690531177829,0.019602504764497684
213,0.022018348623853212,99.0,15.339305711086228,11.170212765957446,0.022018348623853212
3,0.029173419773095625,98.40789473684211,13.72151898734177,10.158528852251111,0.029173419773095625
37,0.015957446808510637,97.71428571428572,11.603305785123966,9.162819713038054,0.015957446808510637
12,0.029008863819500404,98.53924914675768,12.314833501513622,9.120535714285715,0.029008863819500404
62,0.012400964519462624,96.54545454545453,10.391061452513966,8.315914489311163,0.012400964519462624
186,0.004454342984409799,99.73268529769138,8.639999999999999,6.226164079822616,0.004454342984409799
171,0.033707865168539325,96.0,15.907174994080039,11.629382303839733,0.033707865168539325
11,0.03266787658802178,79.46666666666667,12.789115646258503,9.263482280431433,0.03266787658802178
35,0.024844720496894408,99.44701986754966,10.8,8.660869565217393,0.024844720496894408
2,3.390505359877489,45.25601750547046,22.19904,16.376619941814333,3.390505359877489
164,0.00478151148890955,99.31034482758622,9.152542372881355,6.815834767641997,0.00478151148890955
102,0.01459262261856506,97.29729729729729,12.679045092838196,9.660881174899865,0.01459262261856506
7,0.007851690294438387,99.0,11.335640138408305,9.148235294117647,0.007851690294438387
57,0.22641509433962265,99.31034482758622,18.608775137111518,12.327543424317618,0.22641509433962265
255,0.009933774834437087,97.23364485981308,12.055427251732102,9.704347826086957,0.009933774834437087
